"文件路径","类别","当前状态","对照20260912","字节数","SHA256","顶层hd_dc符号数","符号","说明"
"common/casus_belli_types/00_civil_war.txt","common","存在","不在101文件清单","64564","a81c45495d6e13a6dfcaf6d64a3155e47351c3f81349b3b598b6c38c2afcfb34","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/casus_belli_types/00_religious_war.txt","common","存在","字节相同","80296","4243d6160066678037de6669949333aa076209290ce0b913b197fea71efadc42","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/casus_belli_types/00_subjugation.txt","common","存在","不在101文件清单","14839","bf927166ae90fba39dc3dcfbeed24422b314ffe215f1ec599f74b982f06d1ea4","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/casus_belli_types/00_tributarize.txt","common","存在","不在101文件清单","19492","27060034ef188a0b3a1034f2dc89332cc221c43126bd4e9b57b5d9feb53c8e5f","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/casus_belli_types/01_fp1_wars.txt","common","存在","不在101文件清单","36533","352f81ed1c97dd4a00f94992574ddcd4f7be6c9cbaabd7159567eb1f873261e2","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/casus_belli_types/05_fp3_wars.txt","common","存在","不在101文件清单","28669","364506b9b0be414c0c7661fb63ec221f548475bbd0ad54c4f8c7eb680e417b62","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/casus_belli_types/06_ce1_wars.txt","common","存在","不在101文件清单","54225","922cd6d628821817ea2c24bff8322f6a9f4f97318437cfdff47ecddd7ac7e85c","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/casus_belli_types/07_ep3_wars.txt","common","存在","字节相同","156834","f9e4589172342aa33ad2878c7f3849da95843d5c76444842cb6df8051d81b16b","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/casus_belli_types/10_tgp_faction_wars.txt","common","存在","不在101文件清单","20506","bbf0b3a358493dead673a246aa767ec3a24b4ea2c83da323ea2b78e3d83d8787","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/casus_belli_types/kuzhu_AUH_civil_war_cb.txt","common","存在","不在101文件清单","7317","bbce6a672ecf7cac0297a11cc5b84e60f2332b9e0bff7b02eaf694fb011e1f09","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/casus_belli_types/zz_hd_uprising_wars.txt","common","存在","不在101文件清单","11565","a9ae80da3fdfc785907be5dd90a16e88b486ef9b8574a8888602b0506a2d31fb","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/character_interactions/00_blackmail_interactions.txt","common","存在","不在101文件清单","12321","167d6fce5b1a71ae9a09694f28b01506f60ddb08b0d8b4cab1d42c3bc3a5711d","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/character_interactions/00_character_interactions.txt","common","存在","不在101文件清单","60062","54a3f90844293dfb26fc2a211486ee393be539d84cddd95d7ed6845f23035803","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/character_interactions/00_fp3_interactions.txt","common","存在","字节相同","28788","f8e1728cc9ccd2d949a6118ab0216564ec8ac56addca5bbcc671121f9811bbe1","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/character_interactions/00_grant_titles_interaction.txt","common","存在","不在101文件清单","55292","57a58759592563d4f02094dcf47cfdd2e9c89e777e014d75cab8053b413cea27","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/character_interactions/00_prison_interactions.txt","common","存在","不在101文件清单","202463","d5457468ca08fcdf2ec01357fa7c4831dc6135febb3d4500b5f990140f0f90eb","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/character_interactions/00_scheme_interactions.txt","common","存在","不在101文件清单","58325","0cf435319c82fe93ed7a1e82c995023a1448e108c2c63c2627906805df3ae7fb","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/character_interactions/00_vassal_interactions.txt","common","存在","不在101文件清单","90120","48041cddfd9f1eb2c44c454c895db1bc4a9824833864d8550397ac109fb6869f","0","","包含定义或引用，不代表整文件均由本任务制作"
"common/character_interactions/06_ep3_interactions.txt","common","存在","字节相同","308606","5bf1ce6502ce42a0c4adde2500190baec0741f50a55225fffe619683af307ceb","0","","包含定义或引用，不代表整文件均由本任务制作"
